"","genre","followers"
"2639","vapor trap",55812589
"400","modern alternative rock",55206805
"5860","queens hip hop",54917141
"356","alternative hip hop",54727864
"1531","pop soul",54239637
"2191","turkish rock",54137751
"344","big room",53626544
"1016"," indie pop",53545093
"1062","g funk",52969692
"869","k-rap",52730588
"653","salsa",52257652
"459","bolero",51167808
"6407","rock nacional",50987213
"45","turkish hip hop",50959424
"3416","barbadian pop",50839602
"5","dancehall",50679674
"1570","piano rock",50652905
"1067"," viral pop",50649368
"1670","escape room",50460626
"1807","slap house",50441463
"251","french pop",49915901
"1959","glam metal",49859047
"5301","ska",49655788
"553"," mpb",49403798
"1501","nova mpb",49220809
"164","german pop",48540940
"132"," electropop",47578829
"3204","beatlesque",47328903
"1483","stomp and holler",46744776
"1736","corridos tumbados",46470048
"737","swedish pop",46129201
"1572","uk dance",45976945
"1967","dfw rap",45828223
"249","mandopop",45733726
"865","funk metal",45278559
"178","v-pop",45043373
"1427","british invasion",44894012
"696"," pop punk",44469543
"4949","rap conscient",44454173
"1495","latin viral pop",44274799
"824","cantautor",44093561
"2470","new romantic",43990378
"1036","bachata",43921302
"1668","dance rock",43806153
"3430","heartland rock",43802567
"268","alternative dance",43407860
"1948","trap queen",43021531
"3482","gospel",42914101
"545","russian hip hop",42427066
"4972","mexican rock",42050977
"1395","pakistani pop",41679534
"147","trap brasileiro",41536024
"3663","country dawn",41104954
"2200","grupera",40539539
"5948","techno",39243742
"3919","funk pop",39173543
"1002","australian dance",38745912
"1491","indie soul",38379166
"637","garage rock",38132817
"4149"," techno",37854875
"1644","indie folk",37667256
"1385","egyptian pop",37517208
"3844","yacht rock",36701619
"2856","rap latina",36481860
"3114"," rave",36026075
"238","thai pop",35975196
"1461","turkish trap pop",35930451
"1191","rap rock",35790064
"947","funk mtg",35754904
"1732","classic soul",35691903
"1931"," dancehall",35479552
"4903","lounge",35434322
"1961","indie r&b",35347656
"809","uk hip hop",35215116
"4326","sound",35166251
"1896","nigerian pop",35076702
"3930","j-poprock",34883997
"6683","new rave",34471352
"5875"," gospel",34354074
"2895"," pakistani pop",34031257
"3207","classic pakistani pop",34031257
"5373","roots rock",33968384
"174","polish hip hop",33933468
"2446"," worship",33733599
"2068","bedroom pop",33723096
"6487"," sound",33669824
"1345","australian rock",33633563
"3916","vocal jazz",33067672
"1849","tollywood",33016916
"1946","pop edm",32370027
"2291","rap boricua",32278516
"1430","musica popular colombiana",32260388
"1020","memphis hip hop",32197355
"1389","rai",32183603
"4528","trance",31900219
"1496","electronic trap",31792745
"732"," country rock",31750584
"3431","modern country rock",31750584
"1380","afropop",31678112
"277","dominican pop",31665472
"3177","baroque",31515593
"2096","ccm",31435561
"427","chanson",31431400
"6922","desi trap",31416583
"1678","melancholia",31100566
"1144","south african pop",30927892
"3712","christian music",30712080
"3906","samba",30640678
"707","axe",30383564
"399","cali rap",30325376
"1061","russian pop",30171796
"2561","north carolina hip hop",30103970
"7431","progressive rock",29996244
"1043","folk-pop",29792200
"791","indonesian pop rock",29678399
"1802","country pop",29663132
"5481","rock nacional brasileiro",29573915
"2711","bossa nova",29451399
"403"," italian pop",29411958
"622","classic italian pop",29411958
"796","brill building pop",29405400
"1408","vallenato",28815101
"2305","dark trap",28753660
"3758","dub",28681754
"2017","brazilian gospel",28664753
"3235","trap boricua",28459463
"7177","old school thrash",28319334
"2155","cancion melodica",28117145
"1076","afro soul",28079277
"67","dutch edm",27993763
"3511"," emo",27779634
"2288","latin christian",27551016
"3621","kollywood",27413755
"386","downtempo",27402861
"2025","canadian rock",27391136
"6260","spanish pop rock",27274250
"1665","reggae fusion",27243949
"848","crunk",26958142
"3003","philly rap",26831151
"3713","plugg",26586508
"628","britpop",26556635
"1518","atl trap",26552035
"1184","turkish folk",26500302
"389","perreo",26318786
"2944","pinoy rock",25942920
"1296","christian alternative rock",25857675
"906","trap triste",25830384
"1882","urbano espanol",25418578
"3693","idol",25317068
"1646","motown",25292155
"3455","azonto",25136202
"2188","adoracao",24922165
"135","anime rock",24871921
"2499","candy pop",24794134
"2858","afrofuturism",24723391
"3940","beats",24686485
"1148","ambient",24616642
"721","arabesk",24577525
"381","social media pop",24569592
"753","indonesian indie",24467337
"1693","flamenco",24406372
"413","trap italiana",24327683
"6466","merseybeat",24319828
"2523","rock-and-roll",24054960
"2042","pop venezolano",23994813
"1864","dream pop",23959105
"1017","baroque pop",23692521
"2593","metalcore",23671684
"902","grime",23411683
"3472","haryanvi pop",23388669
"3253","new orleans rap",23245422
"2790","funk consciente",23002990
"181","moroccan pop",22969869
"6300","alternative pop",22879219
"3178"," classical",22790095
"2673","modern blues",22742276
"2692","etherpop",22733855
"265","taiwan pop",22651297
"7080","ska argentino",22591717
"4586","pagode baiano",22543802
"7160","outlaw country",22395945
"1832","r&b en espanol",22333720
"1434","afro dancehall",22071598
"1613","hindi hip hop",22062855
"1625","pop argentino",21966995
"39","c-pop",21893340
"1684","dubstep",21826513
"4257","rap marseille",21686874
"2119"," swing",21617631
"6015","ghazal",21583041
"1316","pop peruano",21527254
"2520","cumbia villera",21441435
"3813","rockabilly",21430241
"6583","experimental",21416896
"936","florida rap",21308366
"1921","gruperas inmortales",21307862
"825","korean r&b",21095090
"2103","swedish electropop",21095031
"3762","old school hip hop",20971607
"1174","irish rock",20895501
"1488","lilith",20885787
"329","acoustic pop",20717567
"3519","pagode novo",20707190
"1744","complextro",20665571
"3804","filter house",20597727
"2403","brooklyn drill",20552798
"2822","german rock",20468136
"3815","pixie",20331078
"1179","baton rouge rap",20308910
"3623","indonesian singer-songwriter",20281912
"3107","pluggnb",20257611
"5876","hare krishna",20039623
"1008","azontobeats",19957462
"2966","rif",19825856
"7058","industrial",19374198
"407","hollywood",19290666
"3154","latin worship",19251193
"2597","rumba",19217504
"163","polish trap",19138506
"3450","oklahoma country",19121148
"1444"," trance",18924196
"5284","pittsburgh rap",18881574
"4639","pop rock brasileiro",18794792
"6170","romantico",18793828
"4594","tamil hip hop",18677419
"3490","spanish hip hop",18669056
"223","korean pop",18660775
"2510","shimmer pop",18494233
"6341","trip hop",18462293
"4813","tech house",18408097
"219","malaysian pop",18400985
"5054"," dub",18384196
"1673","madchester",18258837
"1305","italian indie pop",18166590
"136"," j-pop",18143882
"749","classic j-pop",18143882
"6850","new jack swing",18138440
"280","polish pop",18125538
"730"," blues rock",18121774
"2384","modern blues rock",18121774
"2186","nyc rap",18114167
"3282"," flamenco",18028457
"4719","soca",17959277
"419"," dubstep",17953861
"396","deep house",17878184
"5939","salsa puertorriquena",17826265
"83","chill r&b",17766963
"7604","sheffield indie",17750543
"149"," pop rap",17645754
"5801","tennessee hip hop",17504734
"2274","houston rap",17452411
"54","boom bap",17380786
"2666","russian trap",17376180
"210","panamanian pop",17365074
"5066","german techno",17333699
"2114","japanese singer-songwriter",17331385
"2627","bhangra",17308098
"2430","punjabi hip hop",17280694
"1698","anadolu rock",17246618
"2954"," teen pop",17230922
"4774","ney",16938104
"3529","rap conciencia",16827325
"1681","electro latino",16792693
"315","khaliji",16635330
"739"," indie rock",16571366
"2173","pop flamenco",16561062
"6907","golden age hip hop",16536532
"1803","uk contemporary r&b",16529089
"4"," german hip hop",16506350
"351","deep german hip hop",16506350
"3264","jazz blues",16448845
"91","pinoy hip hop",16438107
"144"," reggaeton",16425545
"712","pop reggaeton",16425545
"787","r&b brasileiro",16403131
"1446","dangdut",16377841
"3565","soundtrack",16321095
"529","israeli pop",16302482
"156","dutch pop",16259328
"3409","la indie",16197181
"6145","minimal techno",16150076
"877","russian dance",16099006
"4800","qawwali",16009549
"1560","indonesian jazz",15955440
"6482","industrial rock",15851432
"1231","brazilian reggae",15812393
"562"," underground hip hop",15794888
"239","classic arab pop",15689655
"3561"," arab pop",15689655
"2254","easy listening",15688401
"221","pop rap brasileiro",15680136
"365","dutch hip hop",15660773
"2890","rap df",15586042
"483","mollywood",15582289
"6449","lebanese pop",15525949
"1033"," talent show",15353587
"830","japanese teen pop",15353139
"3324","tejano",15261204
"671","rap maroc",15156954
"23"," soundtrack",15103336
"2035","ohio hip hop",15100630
"983","indonesian folk",14974164
"6514","old school atlanta hip hop",14948246
"173","cantopop",14889082
"1691","chillwave",14770975
"220","cumbia pop",14768369
"224","la pop",14766821
"5474","german metal",14744496
"115","norwegian pop",14710523
"3549","tagalog rap",14688462
"561","dmv rap",14674364
"47","dutch house",14574409
"4832","opera",14564885
"5396","underground rap",14493401
"2012","big beat",14493286
"1680","turkish alternative",14462678
"2004","celtic",14456284
"316","arabic hip hop",14432609
"1614"," idol",14386433
"275","scandipop",14336017
"1207","chutney",14275607
"5133","bachata dominicana",14252224
"1945","disco house",14176174
"664","australian hip hop",14145227
"783","nz pop",14084984
"479","polish alternative",14064694
"4847","orchestra",14047855
"2338","uk alternative pop",14027634
"1934"," metalcore",13953422
"409"," turkish pop",13931681
"1515","canadian singer-songwriter",13930105
"254"," folk rock",13812468
"1021","musica triste brasileira",13775152
"1951","chamber pop",13756560
"1422","j-division",13718545
"7295","rain",13683330
"3542"," post-punk",13586228
"1459","rap dominicano",13585280
"4569","neo-synthpop",13524384
"616"," salsa",13514025
"2608","modern salsa",13514025
"266","mahraganat",13475911
"6550","jazz pop",13427293
"5961","brega",13411539
"569","eurodance",13405779
"84"," dance pop",13368216
"908","australian indie",13271719
"655","amapiano",13194670
"4962","post-disco",13182705
"872","rap napoletano",13148058
"1412","turkish alt pop",13059123
"2431","trap soul",13020936
"1240","folk brasileiro",13009884
"1353"," synthpop",12976914
"540","danish pop",12959430
"663","turkish singer-songwriter",12847239
"6063","pakistani hip hop",12846476
"3219","schlager",12840337
"1905","turkish alternative rock",12838901
"5120","political hip hop",12745326
"2731","indie pop rap",12634431
"1015","dream smp",12622372
"1573","korean ost",12609980
"3140"," underground rap",12593190
"3286","acid rock",12593035
"2507","new jersey rap",12572299
"5950","power metal",12569816
"3920","microhouse",12561768
"408","deep turkish pop",12544638
"151","mexican indie",12524923
"2028","hip house",12491767
"3082","moombahton",12429097
"2787","nigerian hip hop",12342601
"7547"," ambient",12269208
"40"," mandopop",12135952
"4406","spanish rock",12134996
"6724","french rock",12118617
"3619","melodic dubstep",12088797
"3962","trova",12057498
"2235"," kollywood",12028462
"4817","classic kollywood",12028462
"5256","nu jazz",11980384
"152","egyptian hip hop",11789445
"2164","reggaeton mexicano",11737264
"2292","bubblegum pop",11727741
"6685","jazz fusion",11716017
"3599","vallenato moderno",11702587
"1733"," disco",11693975
"1487","dangdut koplo",11667563
"1453","thai indie",11606450
"4057","corridos alternativos",11590786
"264","vietnamese hip hop",11398927
"1201","compositional ambient",11323432
"693","french indie pop",11321859
"3716","modern reggae",11314891
"916","celtic rock",11291854
"1977","future bass",11260194
"4899","punk blues",11238504
"2623","chicago drill",11215870
"2732","nu-cumbia",11194711
"639","bow pop",11142082
"3602","new americana",11119711
"6828","memphis soul",11109384
"1223","sad rap",11040639
"6867","shoegaze",11028448
"1976","karadeniz turkuleri",10993803
"453","j-acoustic",10974937
"1161","melodic metal",10965474
"6372","canadian trap",10916457
"3031","chilena",10911426
"3495","gujarati pop",10901905
"1085","indonesian rock",10875627
"5693","classical era",10828689
"1748","chilean rock",10789845
"4904","trap mexicano",10772490
"73"," opm",10760567
"341"," hard rock",10644674
"110"," country pop",10644273
"252","classic country pop",10644273
"3822","lovers rock",10623167
"4205","vocal house",10580812
"406","romanian pop",10527834
"5340","oxford indie",10468606
"4992","glitch",10459046
"116","vapor soul",10343087
"4955","pinoy r&b",10319312
"2632","champeta",10283656
"3115","rap baiano",10239763
"3060","hamburg hip hop",10212708
"632","argentine telepop",10183947
"6906","south carolina hip hop",10171082
"22","orchestral soundtrack",10158957
"2879","neo-psychedelic",10131985
"4031","oakland hip hop",10120516
"2063","afrofuturismo brasileiro",10005744
"1933","melodic metalcore",9976451
"742","turkish jazz",9933245
"3132","ninja",9928949
"4006","folklore argentino",9841743
"7134"," chanson",9812652
"3342","dutch rock",9792673
"7167","hard rock brasileiro",9784048
"746","dutch rap pop",9774427
"2852","arkansas country",9771864
"1466","japanese r&b",9745543
"6774"," chilena",9733838
"2884","vapor twitch",9722091
"313","brazilian edm",9651737
"2802","early romantic era",9650807
"1966","dark pop",9639686
"6513","manguebeat",9597614
"4393","nouvelle chanson francaise",9582221
"658","latin talent show",9499832
"201","brega funk",9452782
"4910","pop nacional antigas",9431826
"704","arrochadeira",9397583
"2817","reggae en espanol",9377653
"2539","javanese dangdut",9365363
"2911"," dangdut",9365363
"3414","lagu jawa",9316278
"973","dembow",9287519
"7610","rock gospel brasileiro",9279093
"924","south african hip hop",9269683
"3000","indonesian alternative rock",9265256
"2336","rap tunisien",9261056
"1032","indian folk",9259471
"1667","kentucky hip hop",9257450
"5884","nashville sound",9225173
"192","greek pop",9196111
"678","rap chileno",9164059
"578","cuarteto",9079570
"5381","belly dance",9069029
"6189","speed metal",9064389
"319","eurovision",9049436
"1595","hyperpop",9006119
"232","norwegian indie",8989326
"1841","rap algerien",8983549
"1575","drum and bass",8972440
"954","canadian electronic",8931811
"1335","khaleeji iraqi",8902406
"6913","japanese emo",8892088
"1857","trap baiano",8886272
"1752","visual kei",8863608
"38"," uk pop",8815416
"1399","classic uk pop",8815416
"595","russian alt pop",8790399
"3801","shaabi",8788151
"4182","skate punk",8772032
"3469","country rap",8765627
"940"," melodic rap",8758540
"925","polish alternative rap",8756043
"5239","torch song",8733411
"1808","chicano rap",8712554
"559","alabama rap",8709701
"1838"," tollywood",8684997
"3749","classic tollywood",8684997
"5254","hyphy",8654496
"1411","rome indie",8651525
"1564","new french touch",8643008
"2864","modern folk rock",8604911
"4231","minneapolis sound",8577600
"567"," indonesian rock",8556410
"1425","classic indonesian rock",8556410
"3736","italian underground hip hop",8554422
"2863","rap calme",8554275
"5068","pinoy reggae",8541447
"7021","mississippi hip hop",8539339
"498","pop romantico",8526380
"2877","persian pop",8505499
"6812","synth funk",8502210
"1375","german underground rap",8494022
"2057","piseiro",8489980
"736","cumbia 420",8482206
"3618","thai rock",8475919
"1122","operatic pop",8443528
"418","bass trap",8414604
"1541","bubblegrunge",8412444
"72","classic opm",8361351
"5353","rock brasiliense",8297271
"6065","jazz funk",8293334
"1497","urbano chileno",8288839
"1674","egyptian trap",8223425
"874","belgian pop",8209473
"320","canadian indie",8193108
"2256","pinoy indie",8176214
"2026","nerdcore",8167125
"1291","cumbia peruana",8122394
"4288","funk das antigas",8115580
"1526","j-pixie",8106630
"2043","batida",8103771
"2221","black americana",8060603
"5625","nerdcore brasileiro",8054117
"5221","early music",8044383
"577"," vocal jazz",8042315
"662","gauze pop",8031336
"835","albanian hip hop",8029523
"2032","comic",8015162
"590","belgian edm",8013288
"306","czsk hip hop",7996968
"2599","minnesota hip hop",7962015
"3872","pinoy trap",7944662
"1486","electra",7934883
"4277","texas country",7929531
"814","afroswing",7920061
"1923","boom bap brasileiro",7898071
"335","german drill",7896388
"281","thai hip hop",7870298
"1139","ukrainian pop",7851458
"7423","rock alternativo brasileiro",7838654
"3419","irish singer-songwriter",7833335
"3601","venezuelan hip hop",7832649
"757","batidao romantico",7788684
"1781"," tech house",7780199
"755","japanese alternative rock",7748658
"575","contemporary vocal jazz",7727665
"2023","turkce drill",7703107
"5838","detroit rock",7692817
"1187","indonesian folk pop",7683993
"504","indie viet",7682817
"1747","vietnamese melodic rap",7664835
"11"," swedish pop",7646767
"9","classic swedish pop",7623476
"5487","canadian metal",7602800
"168"," rap francais",7602578
"5060","old school rap francais",7602578
"1452","german dance",7515859
"5160","indian instrumental",7513593
"788","belgian hip hop",7504559
"2959","indonesian pop punk",7491552
"5957","uplifting trance",7457866
"944","flamenco urbano",7426545
"560","brooklyn indie",7413101
"2152","australian electropop",7352148
"4541","afrobeat",7344323
"5198","shiver pop",7341176
"7097","uk americana",7328425
"3247","laiko",7324337
"3847","bounce",7304116
"321"," canadian rock",7300683
"1350","classic canadian rock",7300683
"688","aesthetic rap",7181112
"421","turbo folk",7168418
"3965","turntablism",7167219
"1568","meme rap",7160309
"7158","german romanticism",7146579
"3421","russian rock",7127019
"2266","variete francaise",7126229
"4110","uk funky",7103214
"3197","german trap",7085753
"2022","gen z singer-songwriter",7043135
"4877","intelligent dance music",7022211
"2398","indonesian r&b",7009077
"123","israeli mediterranean",6989470
"4885","west coast trap",6982820
"1073","bubblegum dance",6980065
"988","show tunes",6971444
"391","thai indie pop",6964573
"7163","rap geek",6964230
"3506","australian psych",6925588
"3518","jazz trumpet",6921158
"111","finnish pop",6847137
"1592","uk drill",6841978
"630"," new wave",6837321
"390","argentine indie",6799861
"592","detroit trap",6792931
"4421"," lo-fi",6748132
"343","swedish hip hop",6743823
"2311"," schlager",6718328
"4284","canadian punk",6710585
"6163","christian rock",6693822
"3533","indie triste",6693036
"4742","virginia hip hop",6683460
"5966","doom metal",6680838
"4873","swedish synth",6639576
"4241","breakbeat",6631867
"1428","classic mandopop",6610923
"1982","vietnamese singer-songwriter",6593018
"1330","indie rock italiano",6590385
"1609","jamaican dancehall",6582954
"3816","rap cristiano",6582808
"1150","canadian pop punk",6572430
"5264","redneck",6570987
"3737","classical performance",6566589
"450","hip hop tuga",6565163
"6025","swedish synthpop",6556041
"332","bass house",6553621
"1056","portuguese pop",6512143
"765","argentine reggae",6472245
"5771","rap cearense",6449789
"4081","experimental pop",6435546
"1569","dutch trance",6426819
"6415"," doom metal",6426293
"6652","uk doom metal",6414885
"1651","funk bh",6377381
"440","cumbia chilena",6327375
"2015","south african alternative",6310913
"3386","nueva cancion",6273138
"1127"," indie folk",6259630
"2362","gaming edm",6256714
"3453","battle rap",6253673
"1323","jam band",6244602
"4916","neo-classical",6174338
"4487","late romantic era",6169656
"1009","taiwan singer-songwriter",6156219
"5002","rock drums",6145879
"3106","indiecoustica",6138462
"372","colombian hip hop",6119612
"5621","freestyle",6117090
"6503","stomp pop",6110872
"1722","melodic drill",6102796
"4999","solo wave",6097028
"828","frauenrap",6072272
"71","drill espanol",6070684
"353","german alternative rap",6066748
"2111","city pop",6061110
"1536","latin jazz",6053431
"6427","supergroup",6041071
"3374","ambient pop",6038114
"3670","italian pop rock",6024299
"4112","rap underground mexicano",6014791
"1364","nyc pop",6009307
"1070","bronx hip hop",6002959
"6059","jazztronica",5980010
"2475","j-pop boy group",5950482
"975","chicago bop",5947271
"686","chinese indie",5936623
"692"," viral rap",5918033
"813","greek trap",5896198
"2576","thai folk",5890199
"5920","renaissance",5889174
"3771"," renaissance",5878043
"2557","indie electropop",5858232
"436","hungarian pop",5856639
"117","finnish dance pop",5855259
"1137","j-idol",5847972
"6257","german hard rock",5835174
"2036","chinese idol pop",5833506
"4188","progressive trance",5830962
"4927","proto-metal",5799047
"5277","jazz piano",5789601
"186","deep groove house",5778449
"2867","milan indie",5774351
"2514","classic schlager",5766300
"3259","indian indie",5763827
"3627","nu disco",5760110
"2072","russian dance pop",5749703
"5716"," afrobeat",5737157
"901","vocaloid",5735603
"1436"," grime",5719566
"1196","london rap",5709309
"4123","rap belge",5670452
"780","salsa peruana",5650957
"44"," cantopop",5642495
"4478","classic cantopop",5642495
"4264","chamber psych",5638454
"2505","melbourne bounce",5621624
"617"," tropical",5621234
"209"," tropical house",5619910
"1080","j-rap",5619344
"3275","anthem",5616993
"3187","latin afrobeat",5606856
"657","czech pop",5603385
"1077","basshall",5590101
"2518","australian country",5580260
"359"," gangster rap",5567030
"735","russian gangster rap",5567030
"2480","deep euro house",5559013
"512","new school turkce rap",5541604
"297"," power metal",5519917
"492"," israeli pop",5508692
"952","classic israeli pop",5508692
"2568","bhajan",5503246
"1398","spanish indie pop",5486206
"6038","jazz rap",5452937
"1224","irish pop",5442231
"860","egyptian alternative",5429374
"1341","carnaval",5418942
"1215","hindi indie",5406199
"2441","modern indie pop",5405062
"7053","salsa colombiana",5329798
"5815"," freestyle",5301666
"6559","hardstyle",5284832
"3577","bases de freestyle",5279147
"2124","neo-singer-songwriter",5268871
"2070","jovem guarda",5262623
"1758"," old school hip hop",5259600
"2421"," hardstyle",5241588
"3710","smooth jazz",5210941
"2839","psychedelic hip hop",5206166
"767","contemporary jazz",5160865
"1811","israeli rock",5133698
"2260","ecuadorian pop",5120739
"1731","peruvian rock",5115833
"5516","instrumental rock",5111698
"2643","south african house",5108303
"740"," indietronica",5106384
"4245","french indietronica",5106384
"2451","speedrun",5105433
"2296","hawaiian",5098373
"4941","phonk",5095745
"1336","canadian country",5080912
"2401","british singer-songwriter",5079751
"2343","thai trap",5078772
"5040","british blues",5059666
"1782","neon pop punk",5039340
"2250","bandung indie",5038304
"994","indian edm",5038190
"1859","bedroom soul",5034554
"1106","trap chileno",5017169
"2659","trap funk",4969667
"3630","hi-nrg",4967379
"3471","south african trap",4958938
"4290","experimental hip hop",4957449
"967","rap espanol",4940747
"6603","oud",4938794
"858","manele",4925058
"946","partyschlager",4913226
"5325","uk bass",4911775
"2542","french synthpop",4907464
"1025","french reggae",4887890
"832","dangdut remix",4852480
"324","czech hip hop",4841851
"4261","seattle hip hop",4829561
"2335","drill francais",4821007
"3664"," experimental",4820184
"2819","okinawan pop",4815869
"2298","trap carioca",4815101
"1214","trap venezolano",4811389
"7288","el paso indie",4804697
"2757","post-romantic era",4793729
"2161","german cloud rap",4785253
"1645","a cappella",4780329
"5317","german baroque",4774269
"6561","bolero mexicano",4768530
"7219","northern soul",4767609
"139","greek hip hop",4747258
"5542","harlem hip hop",4743883
"188"," pop dance",4738933
"826","melbourne bounce international",4738804
"635","thai indie rock",4727246
"3233","j-pop girl group",4719830
"3021","reggae rock",4711669
"4674","violin",4700976
"3332","japanese electropop",4698092
"978","dancefloor dnb",4697615
"4364","euphoric hardstyle",4694020
"4786","wonky",4677806
"2746","ghanaian hip hop",4627421
"1045","swedish indie pop",4620739
"4523","riddim",4617725
"3784","uk alternative hip hop",4614287
"5031"," alternative hip hop",4614287
"2095","christian hip hop",4609782
"3126","oyun havasi",4606079
"107","sad lo-fi",4589408
"3232","hawaiian hip hop",4572163
"7254","rock mineiro",4563539
"1273","indonesian hip hop",4558797
"3211","karadeniz pop",4558412
"1229"," russian rock",4555229
"1825","classic russian rock",4555229
"3266","indian fusion",4550928
"6941","japanese punk rock",4541648
"744","mainland chinese pop",4531335
"4746","dance-punk",4498009
"21","suomi rock",4480581
"2929","fnaf",4446621
"801","electronic rock",4434334
"3546","double drumming",4419629
"643","albanian pop",4419172
"1360","finnish metal",4413092
"3306"," ccm",4407027
"1513","aussietronica",4393572
"1539","channel pop",4391918
"3552","brighton indie",4370501
"5230","morelos indie",4369112
"4028","swedish trap",4368027
"1185","funk 150 bpm",4365609
"5789","christian indie",4361361
"3341","big band",4356904
