"","genre","avgFollowers"
"6189","speed metal",1510731.5
"2615","girl group",1508480.04385965
"2561","north carolina hip hop",1505198.5
"6913","japanese emo",1482014.66666667
"5230","morelos indie",1456370.66666667
"4594","tamil hip hop",1436724.53846154
"4231","minneapolis sound",1429600
"4850","ranchera",1425943.2972973
"7188","west coast rap",1422837.49180328
"103","sertanejo",1410632.39534884
"5481","rock nacional brasileiro",1408281.66666667
"6516","modern power pop",1400827
"2200","grupera",1397915.13793103
"1166"," girl group",1397252.18072289
"3430","heartland rock",1368830.21875
"1179","baton rouge rap",1353927.33333333
"4284","canadian punk",1342117
"2320","canadian contemporary r&b",1340601.5
"2155","cancion melodica",1338911.66666667
"583","conscious hip hop",1335844.06410256
"1855","mellow gold",1330876.61676647
"142","latin hip hop",1321687.66806723
"378","atl hip hop",1318155.78873239
"1063","melodic rap",1313545.39428571
"1174","irish rock",1305968.8125
"3919","funk pop",1305784.76666667
"1157","modern rock",1302664.85943775
"1668","dance rock",1288416.26470588
"6063","pakistani hip hop",1284647.6
"5889","southern hip hop",1277021.57720588
"5487","canadian metal",1267133.33333333
"298","argentine hip hop",1259794.04
"709","chicago rap",1256681.78378378
"5860","queens hip hop",1248116.84090909
"1017","baroque pop",1246974.78947368
"1570","piano rock",1235436.70731707
"6960","athens indie",1231293.66666667
"1286","banda",1230765.57142857
"3844","yacht rock",1223387.3
"2240","edmonton indie",1216280
"6427","supergroup",1208214.2
"3374","ambient pop",1207622.8
"1921","gruperas inmortales",1183770.11111111
"3642","emo mexicano",1174798
"2203","hip pop",1172098.84455959
"889","art rock",1170644.2
"602","british soul",1167572.40677966
"3507","soft rock",1158954.02873563
"312","reggaeton",1155877.30049261
"808","sertanejo pop",1154116.61627907
"7431","progressive rock",1153701.69230769
"1062","g funk",1151515.04347826
"7254","rock mineiro",1140884.75
"6482","industrial rock",1132245.14285714
"1669","norteno",1126369.13541667
"2322"," wave",1124933.93883792
"3450","oklahoma country",1124773.41176471
"2050","boston punk",1108433
"3546","double drumming",1104907.25
"7081"," irish indie",1096879.5
"2025","canadian rock",1095645.44
"5801","tennessee hip hop",1094045.875
"1838"," tollywood",1085624.625
"3749","classic tollywood",1085624.625
"7080","ska argentino",1075796.04761905
"5771","rap cearense",1074964.83333333
"225","art pop",1072438.4011976
"2959","indonesian pop punk",1070221.71428571
"5068","pinoy reggae",1067680.875
"3221","french shoegaze",1055031.5
"1015","dream smp",1051864.33333333
"5340","oxford indie",1046860.6
"4639","pop rock brasileiro",1044155.11111111
"321"," canadian rock",1042954.71428571
"1350","classic canadian rock",1042954.71428571
"1667","kentucky hip hop",1028605.55555556
"4899","punk blues",1021682.18181818
"1646","motown",1011686.2
"1132","pop rap",1006093.59968354
"552","brazilian rock",1003008.43055556
"342"," metal",1000599.15142857
"3279","metal",992988.460358056
"895","musica mexicana",991822.176100629
"109","contemporary country",991577.085106383
"101","k-pop",989049.69955157
"1752","visual kei",984845.333333333
"7277","rock en espanol",975670.610526316
"2030","pop nacional",974500.12962963
"531","classic bollywood",971941.806818182
"2162","korean instrumental",966782
"6970","leicester indie",961858.5
"5966","doom metal",954405.428571429
"7219","northern soul",953521.8
"550","pop punk",949021.845238095
"1952","palm desert scene",944494
"916","celtic rock",940987.833333333
"7772","musica aragonesa",939241.333333333
"3597","albuquerque indie",932427
"637","garage rock",930068.707317073
"5474","german metal",921531
"2499","candy pop",918301.259259259
"2002","gangster rap",917619.835483871
"937","neo mellow",914532.772020725
"2068","bedroom pop",911435.027027027
"5693","classical era",902390.75
"4586","pagode baiano",901752.08
"1207","chutney",892225.4375
"696"," pop punk",889390.86
"3235","trap boricua",889358.21875
"2852","arkansas country",888351.272727273
"2433","korean mask singer",875880.5
"2692","etherpop",874379.038461538
"7423","rock alternativo brasileiro",870961.555555556
"1345","australian rock",862399.051282051
"2611","azeri rap",853474
"2895"," pakistani pop",850781.425
"3207","classic pakistani pop",850781.425
"938","canadian hip hop",849144.811881188
"1050","neo soul",847536.56185567
"7610","rock gospel brasileiro",843553.909090909
"997","brostep",840400.302631579
"2250","bandung indie",839717.333333333
"6550","jazz pop",839205.8125
"7673","sacramento indie",838959.25
"7032","swedish power metal",832558.5
"1191","rap rock",832327.069767442
"1933","melodic metalcore",831370.916666667
"684","carnaval cadiz",828532.666666667
"6907","golden age hip hop",826826.6
"5381","belly dance",824457.181818182
"1298","blues rock",824385.294117647
"2403","brooklyn drill",822111.92
"3663","country dawn",822099.08
"1964","pop dance",815178.810344828
"2470","new romantic",814636.62962963
"7097","uk americana",814269.444444444
"5842","pakistani folk",812206.8
"906","trap triste",807199.5
"258","desi hip hop",803415.379310345
"4267","musica juiz-forana",798333
"6561","bolero mexicano",794755
"6828","memphis soul",793527.428571429
"2291","rap boricua",787280.87804878
"2388","alabama indie",786885
"2188","adoracao",778817.65625
"1317","trap argentino",775182.134020619
"732"," country rock",774404.487804878
"3431","modern country rock",774404.487804878
"4782","wave",770561.980079681
"5161","quiet storm",764687.518518519
"4348","lo-fi indie",763766
"1613","hindi hip hop",760788.103448276
"452","pop rock",759336.55011655
"750","latin alternative",754548.46031746
"6233","rock baiano",754179.333333333
"3623","indonesian singer-songwriter",751181.925925926
"1402","east coast hip hop",750890.691056911
"473"," musica mexicana",746275.381147541
"1981","nueva musica mexicana",746275.381147541
"2811","glee club",742789
"1857","trap baiano",740522.666666667
"1678","melancholia",740489.666666667
"1429","contemporary r&b",731117.437037037
"7160","outlaw country",722449.838709677
"1044","reggaeton flow",721806.53815261
"628","britpop",717746.891891892
"3886","country rock",716602.867052023
"3264","jazz blues",715167.173913043
"567"," indonesian rock",713034.166666667
"1425","classic indonesian rock",713034.166666667
"7161","tamaulipas rap",712036
"2424","eau claire indie",710978.6
"1584"," power pop",710690.833333333
"3472","haryanvi pop",708747.545454545
"2623","chicago drill",700991.875
"3324","tejano",693691.090909091
"1698","anadolu rock",689864.72
"2399","cdo indie",685565.8
"2017","brazilian gospel",682494.119047619
"1200","talent show",679560.941176471
"6503","stomp pop",678985.777777778
"7773","folk rock",677344.752525253
"7631","comedy rock",677171
"500","alternative rock",676456.562200957
"3408","r&b argentino",674570.8
"848","crunk",673953.55
"5120","political hip hop",670806.631578947
"2856","rap latina",663306.545454545
"2864","modern folk rock",661916.230769231
"5569","danish metal",661035.75
"3126","oyun havasi",658011.285714286
"1741","brazilian emo",656854.666666667
"2435","dirty south rap",656648.866666667
"4949","rap conscient",653737.838235294
"487","argentine rock",652258.902912621
"1240","folk brasileiro",650494.2
"6260","spanish pop rock",649386.904761905
"443","latin rock",648379.035897436
"1976","karadeniz turkuleri",646694.294117647
"2802","early romantic era",643387.133333333
"3003","philly rap",638836.928571429
"135","anime rock",637741.564102564
"1036","bachata",636540.608695652
"2944","pinoy rock",632754.146341463
"1359","pagode",632614.465277778
"2796","funk paulista",631827.365384615
"432"," country",627768.955801105
"1422","j-division",623570.227272727
"2890","rap df",623441.68
"2107","metropopolis",620286.644067797
"639","bow pop",619004.555555556
"4972","mexican rock",618396.720588235
"448","funk carioca",617521.056980057
"3253","new orleans rap",611721.631578947
"227","arab pop",611050.495238095
"3014"," contemporary r&b",609051.849315068
"3484","vegas indie",608084.5
"1807","slap house",607728.469879518
"1238","reggae",606575.480147059
"1385","egyptian pop",605116.258064516
"1395","pakistani pop",604051.217391304
"1296","christian alternative rock",601341.279069767
"1541","bubblegrunge",600888.857142857
"1330","indie rock italiano",599125.909090909
"5830","acoustic rock",595061.5
"1770","indie liguria",592173.25
"7289","boston rock",591715.833333333
"2858","afrofuturism",588652.166666667
"6434","experimental vocal",587365.333333333
"2275","indie extremena",587260.5
"1732","classic soul",585113.163934426
"6850","new jack swing",585110.967741936
"2398","indonesian r&b",584089.75
"7163","rap geek",580352.5
"3712","christian music",579473.20754717
"3025","country",579285.447368421
"3107","pluggnb",578788.885714286
"88","indonesian pop",578408.272340426
"5928","asbury park indie",577356
"5625","nerdcore brasileiro",575294.071428571
"6514","old school atlanta hip hop",574932.538461538
"581","new wave pop",574270.689655172
"2235"," kollywood",572783.904761905
"4817","classic kollywood",572783.904761905
"2511","middle earth",570867.5
"3115","rap baiano",568875.722222222
"2599","minnesota hip hop",568715.357142857
"6812","synth funk",566814
"3011","pittsburgh indie",563957
"1043","folk-pop",562116.981132075
"3187","latin afrobeat",560685.6
"110"," country pop",560224.894736842
"252","classic country pop",560224.894736842
"8"," reggae fusion",560192.428571429
"1540","australian reggae fusion",560192.428571429
"791","indonesian pop rock",559969.79245283
"2035","ohio hip hop",559282.592592593
"5543","tropical",558606.404829545
"6163","christian rock",557818.5
"1165","tamil pop",557596.741007194
"2430","punjabi hip hop",557441.741935484
"7197","puerto rican rock",557217.6
"4742","virginia hip hop",556955
"1007","punjabi pop",556638.929292929
"823","electropop",552148.227987421
"2288","latin christian",551020.32
"3815","pixie",549488.594594595
"730"," blues rock",549144.666666667
"2384","modern blues rock",549144.666666667
"2147","celtic punk",547648.5
"6372","canadian trap",545822.85
"649","forro",545524.344827586
"3495","gujarati pop",545095.25
"4115","hardcore hip hop",544481.802469136
"1085","indonesian rock",543781.35
"5939","salsa puertorriquena",540189.848484849
"6015","ghazal",539576.025
"6407","rock nacional",536707.505263158
"5160","indian instrumental",536685.214285714
"303"," rock",534711.447473937
"5374","rock independant francais",534648.25
"6638","nova canco",533769
"2460","men chika",532890
"1121","pop r&b",527774.643410853
"376","mpb",527277.540178571
"5575","italian tenor",526543
"2070","jovem guarda",526262.3
"1625","pop argentino",523023.69047619
"239","classic arab pop",522988.5
"3561"," arab pop",522988.5
"453","j-acoustic",522616.047619048
"2042","pop venezolano",521626.369565217
"3930","j-poprock",520656.671641791
"344","big room",520646.058252427
"3621","kollywood",517240.660377358
"471","corrido",516560.337962963
"1515","canadian singer-songwriter",515929.814814815
"3533","indie triste",514848.923076923
"1032","indian folk",514415.055555556
"1500","j-rock",513802.297297297
"836","new wave",512721.39408867
"6843","cyberpunk",512098.142857143
"524","mexican hip hop",511566.598290598
"276","turkish pop",508531.756410256
"7375","digital hardcore",508024.333333333
"3","christlicher rap",507675.4
"6513","manguebeat",505137.578947368
"6941","japanese punk rock",504627.555555556
"243","j-pop",503114.797250859
"949","adult standards",501317.929824561
"2191","turkish rock",501275.472222222
"4234","swedish hard rock",499887.5
"1275","orlando indie",499601
"5416","groove gospel",498094
"765","argentine reggae",497865
"63","opm",497500.096330275
"1495","latin viral pop",497469.651685393
"4395","swedish death metal",496516
"1832","r&b en espanol",496304.888888889
"2099","nasheed",495688.666666667
"2929","fnaf",494069
"131","alt z",493974.900552486
"2115","chihuahua indie",493831.6
"1905","turkish alternative rock",493803.884615385
"2593","metalcore",493160.083333333
"2539","javanese dangdut",492913.842105263
"2911"," dangdut",492913.842105263
"2462","r&b",492105.043538355
"7523","kolkata indie",488821
"400","modern alternative rock",488555.796460177
"102","tropical house",488356.213004484
"4182","skate punk",487335.111111111
"341"," hard rock",483848.818181818
"2879","neo-psychedelic",482475.476190476
"7110","garage rock revival",481845.444444444
"1184","turkish folk",481823.672727273
"160","brazilian hip hop",480096.208053691
"1736","corridos tumbados",479072.659793814
"1161","melodic metal",476759.739130435
"2063","afrofuturismo brasileiro",476464
"1109","latin viral rap",475290.2
"16","francoton",474969.294117647
"707","axe",474743.1875
"1430","musica popular colombiana",474417.470588235
"3689","arkansas hip hop",473954.6
"3723","gothic metal",472921.875
"3821","polish classical",470076.166666667
"2815","british indie rock",467626.333333333
"1020","memphis hip hop",466628.333333333
"3713","plugg",466429.964912281
"6493","freak folk",463575.333333333
"459","bolero",460971.243243243
"4309","cosmic american",459542.166666667
"6867","shoegaze",459518.666666667
"817","spanish pop",457834.590673575
"3403","austin americana",456783
"6449","lebanese pop",456645.558823529
"3855","duranguense",456295
"2733","gothic symphonic metal",456057
"1002","australian dance",455834.258823529
"2574","comic metal",455382.8
"721","arabesk",455139.351851852
"205","anime",452692.285714286
"1231","brazilian reggae",451782.657142857
"1423","emo",450695.491166078
"960","chilean hardcore",450493.75
"1408","vallenato",450235.953125
"1934"," metalcore",450110.387096774
"1463","indietronica",449943.464052288
"2103","swedish electropop",448830.446808511
"2036","chinese idol pop",448731.230769231
"2221","black americana",447811.277777778
"7158","german romanticism",446661.1875
"3529","rap conciencia",442824.342105263
"632","argentine telepop",442780.304347826
"7833","folklore ecuatoriano",441714
"5716"," afrobeat",441319.769230769
"1483","stomp and holler",440988.452830189
"6442","pinoy praise",440770
"7058","industrial",440322.681818182
"5884","nashville sound",439293.952380952
"982","pop urbaine",439228.420062696
"5002","rock drums",438991.357142857
"729","blues",438384.585271318
"1358","electro house",437810.464765101
"6361","dutch metal",437673.666666667
"616"," salsa",435936.290322581
"2608","modern salsa",435936.290322581
"5373","roots rock",435492.102564103
"604","finnish death metal",434740.5
"2708"," southern rock",433480.666666667
"4557","modern southern rock",433480.666666667
"7527","piano blues",433318.6
"136"," j-pop",431997.19047619
"749","classic j-pop",431997.19047619
"5133","bachata dominicana",431885.575757576
"2732","nu-cumbia",430565.807692308
"2026","nerdcore",429848.684210526
"2518","australian country",429250.769230769
"3813","rockabilly",428604.82
"3154","latin worship",427804.288888889
"1526","j-pixie",426664.736842105
"936","florida rap",426167.32
"7151","banda jalisciense",424831
"1226","pop",423688.696796841
"5203","reggae tuga",420266.875
"308","australian pop",418285.693877551
"1759","australian indie folk",418229.285714286
"1951","chamber pop",416865.454545455
"415","italian pop",416857.336244542
"68"," electro house",413757.789189189
"2372","progressive electro house",413757.789189189
"2673","modern blues",413495.927272727
"221","pop rap brasileiro",412635.157894737
"2075","chicago soul",410678.8
"1848"," symphonic metal",410473.7
"1560","indonesian jazz",409113.846153846
"3019","baltimore indie",408306.857142857
"741","trap",406113.92936803
"1936","hardcore punk",405905.1
"37"," pop",405615.569149312
"2124","neo-singer-songwriter",405297.769230769
"4406","spanish rock",404499.866666667
"2709","afrobeat brasileiro",402553
"7779","vancouver indie",402371.5
"2004","celtic",401563.444444444
"2523","rock-and-roll",400916
"382","italian adult pop",400424.127777778
"2394","deep flow",399050
"561","dmv rap",396604.432432432
"3400","britpop revival",396580.666666667
"975","chicago bop",396484.733333333
"4277","texas country",396476.55
"578","cuarteto",394763.913043478
"7276","brazilian boogie",393027.25
"2507","new jersey rap",392884.34375
"7612","folclore tucumano",392576.5
"1767","emo rap",392119.648780488
"2727","viral rap",391562.093862816
"3578","baglama",390927
"3519","pagode novo",390701.698113208
"7199","ghibli",390541.5
"3276","newcastle nsw indie",390360
"6171","samba-rock",389945
"2338","uk alternative pop",389656.5
"1487","dangdut koplo",388918.766666667
"1152"," punk",387064.187279152
"1299","alte",386817.782159624
"1291","cumbia peruana",386780.666666667
"4569","neo-synthpop",386410.971428571
"2057","piseiro",385908.181818182
"1665","reggae fusion",383717.591549296
"4741","modern dream pop",383148.125
"3224","sholawat",382944.111111111
"1713","cologne indie",382680.25
"4257","rap marseille",380471.473684211
"3211","karadeniz pop",379867.666666667
"5239","torch song",379713.52173913
"6869","psychedelic soul",379100.666666667
"5023","bakersfield sound",378752.5
"1621","punk",378697.606185567
"559","alabama rap",378682.652173913
"2407","bergamo indie",378383
"128"," pop rock",378211.115183246
"5795","finnish power metal",377936.666666667
"3577","bases de freestyle",377081.928571429
"796","brill building pop",376992.307692308
"167","french hip hop",376391.309895833
"6052","zhongguo feng",375689.6
"983","indonesian folk",374354.1
"7478","symphonic metal",373211.545454545
"4540","seattle indie",372923.571428571
"1501","nova mpb",372884.916666667
"3414","lagu jawa",372651.12
"547","comedy rap",371117.833333333
"1966","dark pop",370757.153846154
"3049","syrian pop",370088.272727273
"2877","persian pop",369804.304347826
"1864","dream pop",368601.615384615
"1472"," alternative rock",368105.685628743
"1948","trap queen",367705.393162393
"1407","alaska indie",366563
"7106","synthpop",366386.973856209
"3801","shaabi",366172.958333333
"2909","campursari",365999
"3591","dreamo",365974.375
"2296","hawaiian",364169.5
"57"," rap",363758.924604172
"67","dutch edm",363555.363636364
"5789","christian indie",363446.75
"553"," mpb",363263.220588235
"1624","viral pop",361779.422535211
"1680","turkish alternative",361566.95
"3477","ambient worship",361505
"381","social media pop",361317.529411765
"5441","jazz cover",361040.333333333
"2790","funk consciente",359421.71875
"743","europop",358961.18556701
"3314","afghan pop",356154.6
"6265","pop violin",355129.6
"2632","champeta",354608.827586207
"5885","soul",354128.654941374
"2787","nigerian hip hop",352645.742857143
"240","german alternative rock",349539
"5659","corridos clasicos",349520
"5950","power metal",349161.555555556
"2114","japanese singer-songwriter",346627.7
"2667","canadian latin",346507.2
"3426","russian pop punk",345953
"4719","soca",345370.711538462
"2164","reggaeton mexicano",345213.647058824
"762"," soul",345005.295968535
"3409","la indie",344620.872340426
"2819","okinawan pop",343990.642857143
"386","downtempo",342535.7625
"4880","cool jazz",342519.5
"2274","houston rap",342204.137254902
"1529","rap",342161.914653613
"2186","nyc rap",341776.735849057
"2096","ccm",341690.880434783
"5317","german baroque",341019.214285714
"3419","irish singer-songwriter",340579.782608696
"6160","brazilian soul",339114.714285714
"2563","german soundtrack",338809.454545455
"757","batidao romantico",338638.434782609
"4031","oakland hip hop",337350.533333333
"6332","ethereal wave",337215.25
"3469","country rap",337139.5
"824","cantautor",336592.06870229
"1167","chicago indie",336510.666666667
"3055","electronica argentina",336278.857142857
"2639","vapor trap",336220.415662651
"2292","bubblegum pop",335078.314285714
"830","japanese teen pop",333763.891304348
"1438","irish indie",333448
"1841","rap algerien",332724.037037037
"4057","corridos alternativos",331165.314285714
"5875"," gospel",330327.634615385
"3181","st louis rap",329872.272727273
"663","turkish singer-songwriter",329416.384615385
"1681","electro latino",329268.490196078
"2767","swedish melodic rock",329152.25
"1323","jam band",328663.263157895
"5581","dark rock",328469
"1021","musica triste brasileira",327979.80952381
"22","orchestral soundtrack",327708.290322581
"2711","bossa nova",327237.766666667
"4434","hardcore",326401.124223602
"6048","country gospel",326289.875
"4288","funk das antigas",324623.2
"4009","spa",324552.371541502
"147","trap brasileiro",324500.1875
"7392","concepcion indie",324387.75
"2266","variete francaise",323919.5
"301","liverpool indie",323156
"86"," r&b",322356.533223954
"3721","north east england indie",322222
"1849","tollywood",320552.582524272
"7428","russian punk rock",319741.333333333
"2305","dark trap",319485.111111111
"5516","instrumental rock",319481.125
"7489","pakistani rock",319294
"1572","uk dance",319284.340277778
"753","indonesian indie",317757.623376623
"1087","deep neofolk",317551
"3779","musica yucateca",316496.5
"5824","nu-metalcore",315351.4
"1573","korean ost",315249.5
"1649","alternative pop rock",315034.833333333
"462","hip hop",313552.308489876
"2034","progressive house",313468.888888889
"4283","canadian metalcore",312997
"251","french pop",311974.38125
"5069","nashville hip hop",310810.2
"1730","indie rock",310298.03257329
"560","brooklyn indie",308879.208333333
"2157","musica gaucha",308727
"4836","livetronica",308281.272727273
"4607"," blues",308165.537383178
"1187","indonesian folk pop",307359.72
"5921","gospel r&b",306554.083333333
"208","edm",306474.718634002
"5198","shiver pop",305882.333333333
"45","turkish hip hop",305146.251497006
"6511","bass music",304403
"832","dangdut remix",303280
"2510","shimmer pop",303184.147540984
"56"," hip hop",302397.875046951
"4261","seattle hip hop",301847.5625
"5511","kansas hip hop",300965.375
"3906","samba",300398.803921569
"3797","chopped and screwed",298922.111111111
"4082","singer-songwriter",298788.831089351
"787","r&b brasileiro",298238.745454545
"5040","british blues",297627.411764706
"1782","neon pop punk",296431.764705882
"1510","finnish melodeath",296360.666666667
"5301","ska",295570.166666667
"3233","j-pop girl group",294989.375
"5815"," freestyle",294537
"3539","australian metalcore",294175.666666667
"3661","indie rock mexicano",293971.222222222
"1802","country pop",293694.376237624
"2461","underground hip hop",293669.309352518
"2690","folk rock italiano",293524.928571429
"229","italian hip hop",293011.017467249
"3599","vallenato moderno",292564.675
"6701","california hardcore",291829
"268","alternative dance",291327.919463087
"2814","melodic power metal",290781
"7510","art punk",290283.285714286
"2336","rap tunisien",289408
"2839","psychedelic hip hop",289231.444444444
"3376"," shoegaze",288850.222222222
"463","indie poptimism",288722.995744681
"2867","milan indie",288717.55
"2701","bitpop",287572.625
"1488","lilith",286106.671232877
"6473","scottish new wave",285689
"1518","atl trap",285505.752688172
"6683","new rave",284887.20661157
"1582","indie surf",284310.166666667
"2822","german rock",284279.666666667
"2027","electro",284127.549301242
"1366","turkish trap",283365.891402715
"4204","honky tonk",283196
"296"," melodic metal",282996
"3540"," melodic metalcore",282996
"1434","afro dancehall",282969.205128205
"664","australian hip hop",282904.54
"2816","austindie",282773.142857143
"1923","boom bap brasileiro",282073.964285714
"6596","djent",280986.666666667
"7053","salsa colombiana",280515.684210526
"1168","gothenburg indie",278880.888888889
"3630","hi-nrg",275965.5
"734","german pop rock",275012.916666667
"2520","cumbia villera",274890.192307692
"869","k-rap",274638.479166667
"7334","british post-rock",274338.5
"5670","italian baroque",274015.444444444
"7087","quebec indie",273568.1
"7221","tempe indie",273556
"3618","thai rock",273416.741935484
"3916","vocal jazz",273286.545454545
"6025","swedish synthpop",273168.375
"3552","brighton indie",273156.3125
"1738","bruneian pop",272718
"6973","rap genovese",272374
"1969","scottish singer-songwriter",271606.6
"2475","j-pop boy group",270476.454545455
"2082","ambient folk",270454
"3482","gospel",269900.006289308
"4904","trap mexicano",269312.25
"3585","afghan rap",269267.5
"4962","post-disco",269034.795918367
"2968","folk punk",268863.25
"2731","indie pop rap",268817.680851064
"3121","auckland indie",267430.5
"1420","british folk",267276.071428571
"7577","modern hard rock",267199.222222222
"1331","acoustic opm",266579.555555556
"1137","j-idol",265816.909090909
"653","salsa",265267.269035533
"2370","azeri traditional",264911.2
"4955","pinoy r&b",264597.743589744
"413","trap italiana",264431.336956522
"1446","dangdut",264158.725806452
"3462","anti-folk",263190.714285714
"5264","redneck",262839.48
"5836","japanese power metal",262834.75
"3992","swedish indie folk",262778.4
"7303","rock gaucho",262661.875
"403"," italian pop",262606.767857143
"622","classic italian pop",262606.767857143
"2960","turkish instrumental",262289.416666667
"1411","rome indie",262167.424242424
"1744","complextro",261589.506329114
"7027","synthesizer",260968.6
"4868","slovenian electronic",260801.333333333
"7701","indonesian indie rock",260786
"2119"," swing",260453.385542169
"6591","samba paulista",260146.285714286
"1670","escape room",260106.319587629
"6341","trip hop",260032.295774648
"498","pop romantico",258375.151515152
"2542","french synthpop",258287.578947368
"1961","indie r&b",258012.087591241
"6614","icelandic experimental",257739.875
"4883","classic bhangra",257235.153846154
"2954"," teen pop",257177.940298507
"563","belarusian hip hop",257177.5
"1808","chicano rap",256251.588235294
"336","alternative r&b",256117.484581498
"1363"," alte",255843.351624549
"6058","easycore",255032.333333333
"4910","pop nacional antigas",254914.216216216
"6356","deep ccm",254760.75
"2627","bhangra",254530.852941176
"4226","dixieland",254325.363636364
"1982","vietnamese singer-songwriter",253577.615384615
"2552","folk",253246.550793651
"316","arabic hip hop",253203.666666667
"3266","indian fusion",252829.333333333
"697"," screamo",252541
"297"," power metal",250905.318181818
"5756","papuri",250050.375
"7780"," gothic post-punk",249957
"7575","glam punk",248949.666666667
"3365","cumbia santafesina",248595.066666667
"3114"," rave",248455.689655172
"5300","kurdish hip hop",246623.333333333
"694","electropowerpop",246345.125
"4006","folklore argentino",246043.575
"6532","nintendocore",245216.5
"5174","nova musica pernambucana",244544.7
"2086","j-metal",244330.9
"6766","industrial hip hop",244172.142857143
"3445","oi",244131.165938865
"6065","jazz funk",243921.588235294
"4727","metal guitar",243115.4
"4903","lounge",242700.835616438
"1354"," plugg",242509.2
"2891","russian plugg",242509.2
"163","polish trap",242259.569620253
"389","perreo",241456.752293578
"3670","italian pop rock",240971.96
"704","arrochadeira",240963.666666667
"5052","rap sardegna",240390.6
"873","chill pop",239960.461538462
"1859","bedroom soul",239740.666666667
"872","rap napoletano",239055.6
"399","cali rap",238782.488188976
"5114","viral pop brasileiro",238710.454545455
"4774","ney",238564.845070423
"329","acoustic pop",238132.954022989
"2254","easy listening",237703.045454545
"3452","chicago blues",237606.545454545
"1412","turkish alt pop",237438.6
"6687","neoclassical darkwave",237286
"6380","indian rock",236840.444444444
"4110","uk funky",236773.8
"1997","indie pop",236478.052694611
"3490","spanish hip hop",236317.164556962
"6956","german punk",236232.272727273
"73"," opm",233925.369565217
"3511"," emo",233442.302521008
"2396","glasgow indie",233439
"801","electronic rock",233386
"7659","yodeling",233166.5
"1716","indonesian idol pop",232679
"2307","belgian dance",231636.133333333
"2446"," worship",231052.047945205
"5829","comedia",230668
"5580","musica canaria",230587.166666667
"3601","venezuelan hip hop",230372.029411765
"4535","brega saudade",230173
"7611","russian reggae",230050.142857143
"4871","viola caipira",229865.333333333
"4541","afrobeat",229510.09375
"2568","bhajan",229301.916666667
"4617","salsa venezolana",229088.818181818
"2032","comic",229004.628571429
"7728","impressionism",226452.166666667
"3978","english baroque",226185.5
"72","classic opm",225982.459459459
"5298","new age piano",225956.2
"1198","salsa choke",225936.9375
"1215","hindi indie",225258.291666667
"2043","batida",225104.75
"1748","chilean rock",224788.4375
"6879","japanese soundtrack",222679.142857143
"1731","peruvian rock",222427.52173913
"1530","viral trap",222302.294117647
"2451","speedrun",221975.347826087
"2504","channel islands indie",221724.666666667
"6173","ectofolk",221531.714285714
"6282","oc rap",221013.5
"356","alternative hip hop",220676.870967742
"275","scandipop",220554.107692308
"1557","rap francais",220404.564263323
"5257","okinawan folk",220313
"3515","brazilian ccm",219618.727272727
"4965","bristol indie",218779.666666667
"6270","canadian ccm",217766.5
